ind,var_name,var_description,var_value,var_unit,var_alg,var_need,v_linked
337,Unit_Labor_Rubbing_surfaces_Superstr,Unit cost of Labor Rubbing surfaces Superstructure (shell) in 2017,23.88,dollar/m^2,unitcost_s_eedb_to_accert,"Unit_EEDB_Labor_Rubbing_surfaces_Superstr,infl",Total_Labor_Rubbing_surfaces_Superstr
338,Unit_Labor_Rubbing_surfaces_Dome,Unit cost of Labor Rubbing surfaces Superstructure (dome) in 2017,16.48,dollar/m^2,unitcost_s_eedb_to_accert,"Unit_EEDB_Labor_Rubbing_surfaces_Dome,infl",Total_Labor_Rubbing_surfaces_Dome
339,Unit_Labor_Rubbing_surfaces_Interior,Unit cost of Labor Rubbing surfaces Interior structure in 2017,28.45,dollar/m^2,unitcost_s_eedb_to_accert,"Unit_EEDB_Labor_Rubbing_surfaces_Interior,infl",Total_Labor_Rubbing_surfaces_Interior
340,Unit_Labor_Waterproofing_Substr,Unit cost of Labor Waterproofing Substructure (base mat) in 2017,13.15,dollar/m^2,unitcost_s_eedb_to_accert,"Unit_EEDB_Labor_Waterproofing_Substr,infl",Total_Labor_Waterproofing_Substr
341,Unit_Labor_Waterproofing_Superstr,Unit cost of Labor Waterproofing Superstructure (shell) in 2017,2.41,dollar/m^2,unitcost_s_eedb_to_accert,"Unit_EEDB_Labor_Waterproofing_Superstr,infl",Total_Labor_Waterproofing_Superstr
342,Unit_Labor_Waterproofing_Dome,Unit cost of Labor Waterproofing Superstructure (dome) in 2017,0,dollar/m^2,unitcost_s_eedb_to_accert,"Unit_EEDB_Labor_Waterproofing_Dome,infl",Total_Labor_Waterproofing_Dome
343,Unit_Labor_Welded_wire_fabric_Substr,Unit cost of Labor Welded wire fabric Substructure (base mat) in 2017,28.91,dollar/m^2,unitcost_s_eedb_to_accert,"Unit_EEDB_Labor_Welded_wire_fabric_Substr,infl",Total_Labor_Welded_wire_fabric_Substr
344,Unit_Labor_Lighting_Power,Unit cost of Labor Lighting Power in 2017,28.22,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Labor_Lighting_Power,infl",Total_Labor_Lighting_Power
345,Unit_Labor_Plumb_drains,Unit cost of Labor Plumb drains in 2017,8.67,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Labor_Plumb_drains,infl",Total_Labor_Plumb_drains
346,Unit_Labor_Special_HVAC,Unit cost of Labor Special HVAC in 2017,31.83,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Labor_Special_HVAC,infl",Total_Labor_Special_HVAC
347,Unit_Labor_other,Unit cost of Labor other in 2017,1.52,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Labor_other,infl",Total_Labor_other
348,Unit_Labor_Misc_steel_frames,Unit cost of Labor miscellaneous steel frames in 2017,28.53,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Labor_Misc_steel_frames,infl",Total_Labor_Misc_steel_frames
349,Unit_Labor_React_cav_liner,Unit cost of Labor Reactor cavity liner plate in 2017,2141.22,dollar/m^2,unitcost_s_eedb_to_accert,"Unit_EEDB_Labor_React_cav_liner,infl",Total_Labor_React_cav_liner
350,Unit_Labor_Struct_steel,Unit cost of Labor Struct steel in 2017,40.13,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Labor_Struct_steel,infl",Total_Labor_Struct_steel
351,Unit_Labor_cont_liner,Unit cost of Labor Containment liner in 2017,2239.94,dollar/m^2,unitcost_s_eedb_to_accert,"Unit_EEDB_Labor_cont_liner,infl",Total_Labor_cont_liner
352,Unit_Labor_fl_grate_handrail_stairs,"Unit cost of Labor Floor grating (galvanized), Handrail, Stair treads in 2017",5.02,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Labor_fl_grate_handrail_stairs,infl",Total_Labor_fl_grate_handrail_stairs
353,Unit_Labor_painting,Unit cost of Labor painting in 2017,249.16,dollar/m^2,unitcost_s_eedb_to_accert,"Unit_EEDB_Labor_painting,infl",Total_Labor_painting
354,Unit_Mat_Cadweld_Substr,Unit cost of Material Cadweld Substructure (base mat) in 2017,127.22,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Mat_Cadweld_Substr,infl",Total_Mat_Cadweld_Substr
355,Unit_Mat_Cadweld_Superstr,Unit cost of Material Cadweld Superstructure (shell) in 2017,170.62,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Mat_Cadweld_Superstr,infl",Total_Mat_Cadweld_Superstr
356,Unit_Mat_Cadweld_Dome,Unit cost of Material Cadweld Superstructure (dome) in 2017,344.03,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Mat_Cadweld_Dome,infl",Total_Mat_Cadweld_Dome
357,Unit_Mat_Cadweld_Interior,Unit cost of Material Cadweld Interior structure in 2017,71.76,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Mat_Cadweld_Interior,infl",Total_Mat_Cadweld_Interior
358,Unit_Mat_Concrete_Substr,Unit cost of Material Concrete Substructure (base mat) in 2017,227.06,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Mat_Concrete_Substr,infl",Total_Mat_Concrete_Substr
359,Unit_Mat_Concrete_Superstr,Unit cost of Material Concrete Superstructure (shell) in 2017,156.36,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Mat_Concrete_Superstr,infl",Total_Mat_Concrete_Superstr
360,Unit_Mat_Concrete_Dome,Unit cost of Material Concrete Superstructure (dome) in 2017,139.59,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Mat_Concrete_Dome,infl",Total_Mat_Concrete_Dome
361,Unit_Mat_Concrete_Interior,Unit cost of Material Concrete Interior structure in 2017,152.74,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Mat_Concrete_Interior,infl",Total_Mat_Concrete_Interior
362,Unit_Mat_Constr_joints_Substr,Unit cost of Material Construction joints Substructure (base mat) in 2017,25.55,dollar/m^2,unitcost_s_eedb_to_accert,"Unit_EEDB_Mat_Constr_joints_Substr,infl",Total_Mat_Constr_joints_Substr
363,Unit_Mat_Constr_joints_Superstr,Unit cost of Material Construction joints Superstructure (shell) in 2017,21.9,dollar/m^2,unitcost_s_eedb_to_accert,"Unit_EEDB_Mat_Constr_joints_Superstr,infl",Total_Mat_Constr_joints_Superstr
364,Unit_Mat_Constr_joints_Dome,Unit cost of Material Construction joints Superstructure (dome) in 2017,8.35,dollar/m^2,unitcost_s_eedb_to_accert,"Unit_EEDB_Mat_Constr_joints_Dome,infl",Total_Mat_Constr_joints_Dome
365,Unit_Mat_Constr_joints_Interior,Unit cost of Material Construction joints Interior structure in 2017,3.62,dollar/m^2,unitcost_s_eedb_to_accert,"Unit_EEDB_Mat_Constr_joints_Interior,infl",Total_Mat_Constr_joints_Interior
366,Unit_Mat_Embedded_steel_Substr,Unit cost of Material Embedded steel Substructure (base mat) in 2017,5.4,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Mat_Embedded_steel_Substr,infl",Total_Mat_Embedded_steel_Substr
367,Unit_Mat_Embedded_steel_Superstr,Unit cost of Material Embedded steel Superstructure (shell) in 2017,21.73,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Mat_Embedded_steel_Superstr,infl",Total_Mat_Embedded_steel_Superstr
368,Unit_Mat_Embedded_steel_Dome,Unit cost of Material Embedded steel Superstructure (dome) in 2017,0,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Mat_Embedded_steel_Dome,infl",Total_Mat_Embedded_steel_Dome
369,Unit_Mat_Embedded_steel_Interior,Unit cost of Material Embedded steel Interior structure in 2017,458.51,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Mat_Embedded_steel_Interior,infl",Total_Mat_Embedded_steel_Interior
370,Unit_Mat_Formwork_Substr,Unit cost of Material Formwork Substructure (base mat) in 2017,37.95,dollar/m^2,unitcost_s_eedb_to_accert,"Unit_EEDB_Mat_Formwork_Substr,infl",Total_Mat_Formwork_Substr
371,Unit_Mat_Formwork_Superstr,Unit cost of Material Formwork Superstructure (shell) in 2017,39.18,dollar/m^2,unitcost_s_eedb_to_accert,"Unit_EEDB_Mat_Formwork_Superstr,infl",Total_Mat_Formwork_Superstr
372,Unit_Mat_Formwork_Dome,Unit cost of Material Formwork Superstructure (dome) in 2017,22.02,dollar/m^2,unitcost_s_eedb_to_accert,"Unit_EEDB_Mat_Formwork_Dome,infl",Total_Mat_Formwork_Dome
373,Unit_Mat_Formwork_Interior,Unit cost of Material Formwork Interior structure in 2017,62.72,dollar/m^2,unitcost_s_eedb_to_accert,"Unit_EEDB_Mat_Formwork_Interior,infl",Total_Mat_Formwork_Interior
374,Unit_Mat_Maj_supp_embedments_Interior,Unit cost of Material Major Support Embedments Interior structure in 2017,646.87,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Mat_Maj_supp_embedments_Interior,infl",Total_Mat_Maj_supp_embedments_Interior
375,Unit_Mat_Reinforc_steel_Substr,Unit cost of Material Reinforc steel Substructure (base mat) in 2017,1046.96,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Mat_Reinforc_steel_Substr,infl",Total_Mat_Reinforc_steel_Substr
376,Unit_Mat_Reinforc_steel_Superstr,Unit cost of Material Reinforc steel Superstructure (shell) in 2017,743.32,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Mat_Reinforc_steel_Superstr,infl",Total_Mat_Reinforc_steel_Superstr
