ind,cost_element,cost_2018,sup_cost_ele,alg_name,fun_unit,variables,account,algno,updated,source_row_type
367,227.2_fac,18766570.190327622,227_fac,category_scale,$,"ref_227_2_fac, scale_ap1000",227.2,LPSR_DIRECT,0,category_scaled
368,227.2_mat,256755.2755789523,227_mat,category_scale,$,"ref_227_2_mat, scale_ap1000",227.2,LPSR_DIRECT,0,category_scaled
369,227.2_lab,2608349.8366213827,227_lab,category_scale,$,"ref_227_2_lab, scale_ap1000",227.2,LPSR_DIRECT,0,category_scaled
370,227.3_fac,19468964.34294287,227_fac,category_scale,$,"ref_227_3_fac, scale_ap1000",227.3,LPSR_DIRECT,0,collapsed_category_scaled
371,227.3_mat,404015.47758182115,227_mat,category_scale,$,"ref_227_3_mat, scale_ap1000",227.3,LPSR_DIRECT,0,collapsed_category_scaled
372,227.3_lab,7334816.640701374,227_lab,category_scale,$,"ref_227_3_lab, scale_ap1000",227.3,LPSR_DIRECT,0,collapsed_category_scaled
373,227.4_fac,18776867.17664469,227_fac,category_scale,$,"ref_227_4_fac, scale_n_crs, scale_ap1000",227.4,LPSR_DIRECT,0,collapsed_category_scaled
374,227.4_mat,661472.963284763,227_mat,category_scale,$,"ref_227_4_mat, scale_n_crs, scale_ap1000",227.4,LPSR_DIRECT,0,collapsed_category_scaled
375,227.4_lab,6719825.107749218,227_lab,category_scale,$,"ref_227_4_lab, scale_n_crs, scale_ap1000",227.4,LPSR_DIRECT,0,collapsed_category_scaled
376,227.5_fac,1504921.852003929,227_fac,category_scale,$,"ref_227_5_fac, scale_n_crs, scale_ap1000",227.5,LPSR_DIRECT,0,category_scaled
377,227.5_mat,3008655.337751244,227_mat,category_scale,$,"ref_227_5_mat, scale_n_crs, scale_ap1000",227.5,LPSR_DIRECT,0,category_scaled
378,227.5_lab,30845058.97257387,227_lab,category_scale,$,"ref_227_5_lab, scale_n_crs, scale_ap1000",227.5,LPSR_DIRECT,0,category_scaled
379,227.9_fac,18031293.033481006,227_fac,category_scale,$,"ref_227_9_fac, scale_n_crs, scale_ap1000",227.9,LPSR_DIRECT,0,category_scaled
380,227.9_mat,1084383.5304371412,227_mat,category_scale,$,"ref_227_9_mat, scale_n_crs, scale_ap1000",227.9,LPSR_DIRECT,0,category_scaled
381,227.9_lab,11016092.491685642,227_lab,category_scale,$,"ref_227_9_lab, scale_n_crs, scale_ap1000",227.9,LPSR_DIRECT,0,category_scaled
382,228_fac,0.0,22_fac,,$,,228,LPSR_DIRECT,0,collapsed_rollup_zero
